symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
AGTR2	0.0466666666666667	-0.0366666666666667	0.799811619610929	0.445607316276281	0.623133720552666	-7.599454525673	Ns
RNU6-692P	-0.0466666666666667	-5.78241158658936e-19	-0.797364638254635	0.446951838521114	0.624227378979603	-7.60148347065333	Ns
RNU1-115P	-0.0466666666666667	-0.0166666666666667	-0.796149539832303	0.447620503208736	0.624637233162855	-7.60248899668173	Ns
COPRS	-0.0466666666666667	-0.0233333333333333	-0.794337263130261	0.448619043775823	0.625618623423868	-7.60398624999298	Ns
RNU6-234P	-0.0466666666666667	-0.00333333333333333	-0.790749530143664	0.450600251062685	0.627430911569876	-7.60694166218559	Ns
RNA5SP425	0.0466666666666667	-0.0533333333333333	0.788973798137669	0.451583008933077	0.628254639753305	-7.60840015999513	Ns
RNU6-521P	-0.0466666666666667	-0.00666666666666667	-0.788973798137669	0.451583008933077	0.628254639753305	-7.60840015999513	Ns
RNU6-402P	-0.0466666666666667	-0.04	-0.788384540598799	0.451909443663632	0.628514942324159	-7.60888352131736	Ns
RN7SKP142	-0.0466666666666667	0	-0.786624658293016	0.45288531721364	0.629421472170441	-7.61032527605167	Ns
CYTIP	0.0466666666666667	-0.01	0.786624658293016	0.45288531721364	0.629421472170441	-7.61032527605167	Ns
TXNDC8	-0.0466666666666667	0.00333333333333333	-0.780271159687503	0.456420116206339	0.632598932470335	-7.61550708579652	Ns
RNU6-278P	-0.0466666666666667	0.00666666666666667	-0.780271159687503	0.456420116206339	0.632598932470335	-7.61550708579652	Ns
MIR451A	-0.0466666666666667	-0.01	-0.777998678438851	0.457688872755511	0.633905072338525	-7.61735164935091	Ns
RPE65	-0.0466666666666667	-0.01	-0.776307287736503	0.458634719457145	0.634687056548372	-7.61872151671124	Ns
ASZ1	-0.0466666666666667	-1.15648231731787e-18	-0.771298545801268	0.461443275318174	0.637476048713217	-7.62276294826836	Ns
RNY3P9	-0.0466666666666667	-0.02	-0.771298545801268	0.461443275318174	0.637476048713217	-7.62276294826836	Ns
TINAG	-0.0466666666666667	-0.01	-0.769650386557664	0.462369933160674	0.638248322427255	-7.62408783801896	Ns
KL	-0.0466666666666667	-0.0466666666666667	-0.76855746548505	0.46298509271865	0.638848709726693	-7.62496503501326	Ns
RNU1-36P	-0.0466666666666667	-0.0233333333333333	-0.76855746548505	0.46298509271865	0.638848709726693	-7.62496503501326	Ns
MBOAT4	0.0466666666666667	-0.0233333333333333	0.766926778747403	0.463903942374181	0.639662141922441	-7.62627183575211	Ns
GTSF1L	-0.0466666666666667	8.67361737988404e-19	-0.76476858895413	0.465121874358494	0.640772876561852	-7.62799765208385	Ns
RNU6-675P	-0.0466666666666667	0.02	-0.763161850403835	0.46602997199343	0.641415348885171	-7.62927974434983	Ns
TAF15	-0.0466666666666667	-0.00333333333333333	-0.762096300471286	0.466632843050885	0.641943788985183	-7.63012870072429	Ns
PMP2	-0.0466666666666667	-0.01	-0.758401723975648	0.468727142280368	0.643988652742781	-7.63306426967988	Ns
H2BFWT	0.0466666666666667	-2.89120579329468e-19	0.756834699784915	0.469617280550279	0.644945492769156	-7.63430560588291	Ns
CNOT1	-0.0466666666666667	-0.14	-0.755277349072314	0.470503019747293	0.645781395751143	-7.63553705683703	Ns
