symbol	loading
CTCF	-0.014512877236371
PJA2	-0.0145116332342038
FAR2	-0.0145077396484445
ANP32B	-0.0145007186335259
DYNLL1	-0.0145002676193548
AAGAB	-0.0144996941761374
EFCAB14	-0.0144996041668442
RBFOX2	-0.0144977256668229
HNRNPH2	-0.0144976130758155
GBE1	-0.0144968541158064
TM7SF2	-0.0144966069569854
ATP8A1	-0.0144955562230137
STRN3	-0.0144866299270241
COPA	-0.0144859555658966
HIGD1A	-0.014483591779453
USP33	-0.0144827672575369
COPB2	-0.0144758817437645
MYO1D	-0.0144742466894465
FAM114A1	-0.014466296003277
ANXA7	-0.0144659324357664
IDH1	-0.0144644182172167
PBX2	-0.0144614238348675
ACTR2	-0.0144608025400566
CDK17	-0.0144570121864086
WDR47	-0.0144569127022747
HSPH1	-0.014455654386158
GNAI3	-0.0144553249747545
DYNLRB1	-0.0144552131830353
PTTG1IP	-0.0144544111669177
TMA7	-0.0144538463640204
EIF5	-0.0144530613388535
SMAD2	-0.0144494605521771
CPNE3	-0.0144469158940936
PICALM	-0.0144469083454938
PELI1	-0.0144462932586358
USP24	-0.014445694361842
ZNF611	-0.0144427566661115
COL5A2	-0.0144421202399038
AP5M1	-0.0144401078933604
TNNC1	-0.0144389854691648
FPGT	-0.0144345813191327
MKRN1	-0.0144329716422462
ANXA2P2	-0.0144313760466145
HSDL2	-0.014426452860784
GNPAT	-0.0144155725641744
ATP5J	-0.0144149722855323
ZNF395	-0.0144141039668801
MED13L	-0.0144119625757983
BCL10	-0.0144106074572941
YPEL5	-0.0144089031729456
CDK8	-0.0144086978491254
HTATSF1	-0.0144025981960356
IPP	-0.0144015443230525
PREP	-0.0144012239676399
TAF7	-0.0144007392649564
KIAA1107	-0.0143992000581415
PHKB	-0.0143989062717702
ACTR10	-0.0143975072102587
PGM1	-0.0143972070928466
GTF2B	-0.014396892802771
HEBP2	-0.0143967658634625
SUCLA2	-0.0143939983144817
LONP2	-0.0143913761290535
ZNF24	-0.0143910830512228
LMBRD1	-0.0143894703621927
NMRK1	-0.0143878300595354
MYH9	-0.0143867779108994
TAX1BP1	-0.0143858355644977
RREB1	-0.0143855881677184
CCNI	-0.0143820346946773
PDGFRA	-0.0143812094470206
MYL12A	-0.0143758651649191
MICU2	-0.0143744467236609
NRBP1	-0.0143724565001484
MFAP1	-0.0143712138657715
ARL6IP1	-0.0143709352426387
ATXN1	-0.0143665763614768
ST13	-0.0143663375449063
RPRD2	-0.0143654683441131
SPOP	-0.0143653020536818
KRCC1	-0.0143609246071665
ANXA2	-0.0143608133978584
CREBL2	-0.0143557470118526
PSME4	-0.0143536548781315
SCFD1	-0.0143529343926878
TSG101	-0.0143512784489369
WTH3DI	-0.014347206080925
VPS35	-0.0143449609080202
UBB	-0.0143410518057509
CAPNS1	-0.0143378461082361
MLYCD	-0.014336136811598
HBP1	-0.0143271442135213
JOSD1	-0.01432447751141
SERTAD3	-0.0143244080178922
HERC6	-0.0143183673010799
ARFIP1	-0.0143158393275516
PINK1	-0.0143154546526055
RPL23AP7	-0.014312413994565
EFEMP2	-0.0143096810132221
FABP5	-0.0143086470991882
FN1	-0.0143082516586548
ZNF410	-0.0143075694469656
CAP1	-0.0143075015055415
ST20	-0.0143033066376286
UBE3B	-0.01430308830787
P4HA1	-0.0143026687494351
PARD3	-0.0143023910017581
SNAPC3	-0.014300483862691
VPS28	-0.0142991503042277
JUP	-0.0142987968098766
UBE2A	-0.0142986358027113
ATG7	-0.0142963135734552
CLTC	-0.014296191723166
KRT18	-0.0142953198532827
C6orf211	-0.014294054169069
ENY2	-0.0142930555110658
PDE9A	-0.0142915787317079
MOCS2	-0.0142911461370067
RAP1B	-0.0142898539675368
SLC39A8	-0.014289761792536
RNF19B	-0.0142894000396547
PCTP	-0.0142888449683708
SMAD6	-0.0142861893783478
SARAF	-0.0142835120662174
RAP1GDS1	-0.0142740433557904
TNKS	-0.0142727438207084
LANCL1	-0.0142725342201736
TP53BP2	-0.0142724952422529
PRKAR1A	-0.0142712436343915
SYNM	-0.0142712086574056
RAB11A	-0.0142693854163523
UBXN2B	-0.014268544211382
PQLC3	-0.0142648910101043
